Name,IsCentralized
Curve (Base),DEX
Curve (BSC),DEX
Curve (Celo),DEX
Curve (Ethereum),DEX
Curve (Fantom),DEX
Curve (Fraxtal),DEX
Curve (Moonbeam),DEX
Curve (Optimism),DEX
Curve (Polygon),DEX
Curve (Xdai),DEX
Cyberblast V2,DEX
Cyberblast V3,DEX
DackieSwap V3,DEX
DackieSwap V2,DEX
DackieSwap V3 (Mode),DEX
DaikoDex,DEX
DAO Swap,DEX
Dark KnightSwap,DEX
Dcoin,CEX
DeDust,DEX
Deepcoin,CEX
Deepcoin (Derivatives),CEX
DeFiChain DEX,DEX
Defi Kingdoms,DEX
Defi Kingdoms (Crystalvale),DEX
DefiPlaza,DEX
DefiPlaza (Radix),DEX
DeFi Swap,DEX
DeGate,DEX
DegenSwap,DEX
Delta Exchange (Futures),CEX
Delta Exchange,CEX
Demex,DEX
Demex (Derivatives),DEX
Deribit,CEX
Deribit Spot,CEX
DerpDEX (zkSync),DEX
DerpDEX (Base),DEX
DerpDEX (opBnb),DEX
Rhino.fi,DEX
Dexalot,DEX
Dexlab,DEX
Dexter,DEX
DexToro,DEX
Dex-Trade,CEX
Dezswap,DEX
dForceswap (Arbitrum),DEX
dForceswap (BSC),DEX
dForceswap (Ethereum),DEX
dForceswap (Optimism),DEX
dForceswap (Polygon),DEX
DFX,DEX
DFX (Polygon),DEX
Dfyn,DEX
Diffusion Finance,DEX
DIFX,CEX
DigiFinex,CEX
Digitalexchange.id,CEX
DinosaurEggs (BSC),DEX
DODO (Ethereum),DEX
DODO (Arbitrum),DEX
DODO (Avalanche),DEX
DODO (BSC),DEX
DODO (Polygon),DEX
Dogeshrek,DEX
DogeSwap,DEX
DogSwap,DEX
DojoSwap,DEX
DOOAR (BSC),DEX
DOOAR (Ethereum),DEX
DOOAR (Polygon),DEX
DoveSwap V3,DEX
Dracula Finance,DEX
DragonSwap,DEX
Drift Protocol,DEX
DTXSwap (Taiko),DEX
DuckyDeFi,DEX
Dusa,DEX
dYdX Chain (Cosmos),DEX
dYdX Perpetual (Ethereum),DEX
DYORSwap (Blast),DEX
DYORSwap (Degen Chain),DEX
Dystopia,DEX
Ebisu's Bay,DEX
EchoDEX,DEX
Econia,DEX
Ecxx,CEX
EddyFinance,DEX
Ekubo (Starknet),DEX
Elk Finance (Avalanche),DEX
Elk Finance (BSC),DEX
Elk Finance (Ethereum),DEX
Elk Finance (Polygon),DEX
Elk Finance (Telos),DEX
Ellipsis Finance,DEX
Emirex,CEX
EmpireDEX (Cronos),DEX
EmpireDEX (BSC),DEX
EmpireDEX (Empire),DEX
Energiswap,DEX
Enosys (Flare),DEX
Equalizer,DEX
Equalizer (Base),DEX
Equation,DEX
Équilibre,DEX
ETCMC,DEX
Everdex,DEX
EvmoSwap,DEX
Excalibur,DEX
EXMO,CEX
eZKalibur,DEX
Fairdesk,CEX
Fairdesk Derivatives,CEX
Fairyswap,DEX
FameEX,CEX
Fastex,CEX
FatBTC,CEX
Fathom DEX,DEX
Fenix Finance,DEX
Ferro Protocol,DEX
FinanceX,CEX
Firefly,DEX
FlatQube,DEX
FlowX Finance,DEX
FluxBeam,DEX
FMCPAY,CEX
Forge,DEX
Forteswap,DEX
4swap,DEX
Foxbit,CEX
Fraxswap (Ethereum),DEX
Fraxswap (Fraxtal),DEX
Freiexchange,CEX
Friendly Market,DEX
FrogSwap (Degen Chain),DEX
FUBT,CEX
FusionX V2,DEX
FusionX V3,DEX
FuzzSwap,DEX
MarginX,DEX
GasX,DEX
Gate.io,CEX
Gate.io (Futures),CEX
Coinbase Exchange,CEX
Gemini,CEX
Gemini Derivatives,CEX
GemSwap,DEX
Giottus,CEX
Glide Finance,DEX
Globe,CEX
Globe (Derivatives),CEX
Globiance,DEX
GMO Japan,CEX
GMO Japan (Futures),CEX
GMX Derivatives (Arbitrum),DEX
GMX Derivatives (Avalanche),DEX
GooseFX,DEX
GoPax,CEX
Graviex,CEX
Gravity Finance,DEX
Greenhouse,DEX
Gull Network,DEX
HakuSwap,DEX
Halo Trade,DEX
HashKey Exchange,CEX
HashKey Global,CEX
HashKey Global (Futures),CEX
BHEX (Futures),CEX
Hebeswap,DEX
HeliSwap,DEX
HenjinDEX,DEX
Hercules V2,DEX
Hercules V3,DEX
Hermes Protocol,DEX
HitBTC,CEX
HitBTC (Derivatives),CEX
HiveSwap V3,DEX
Holdstation DeFutures,DEX
Honeyswap,DEX
Honeyswap (Polygon),DEX
HonorSwap,DEX
HopeSwap,DEX
HorizonDEX,DEX
Hotcoin,CEX
HowSwap,DEX
Huckleberry,DEX
HTX,CEX
HTX Futures,CEX
BitTrade,CEX
Hydra DEX,DEX
Hydration,DEX
HyperBlast,DEX
Hyperliquid (Futures),DEX
Hyperliquid,DEX
ICDex,DEX
IcecreamSwap (Core),DEX
IceCreamSwap V3 (CORE) ,DEX
ICPEx,DEX
ICPSwap,DEX
Icrypex,CEX
Idex,DEX
illumineX,DEX
Impossible Finance,DEX
Impossible Finance (Humanode),DEX
Impossible Finance (v3),DEX
Increment Swap,DEX
Independent Reserve,CEX
Indodax,CEX
Infusion,DEX
Helix,DEX
Helix (Futures),DEX
INX One,CEX
Iotabee (ShimmerEVM),DEX
itBit,CEX
iZiSwap (BSC),DEX
iZiSwap (Linea),DEX
iZiSwap (Manta Pacific),DEX
iZiSwap (Mantle),DEX
iZiSwap (Mode),DEX
iZiSwap (Scroll),DEX
iZiSwap (Taiko),DEX
iZiSwap (X Layer),DEX
iZiSwap (Zetachain),DEX
iZiSwap (ZKFair),DEX
iZiSwap (zkLink Nova) ,DEX
iZiSwap (zkSync),DEX
JediSwap,DEX
Jellyverse,DEX
JetSwap,DEX
Jswap,DEX
Julswap,DEX
Junoswap,DEX
Jupiter,DEX
Justmoney (Bittorent),DEX
eckoDEX,DEX
Kaidex,DEX
Kaidex V3,DEX
KaleidoSwap (Arbitrum),DEX
Kanga,CEX
Karura Swap,DEX
Katana,DEX
Kava Swap,DEX
KDSwap,DEX
KEWLSwap (Arbitrum),DEX
KEWLSwap (Chiliz Chain),DEX
Khaos Exchange,DEX
KibbleSwap,DEX
KickEX,CEX
KiloEx (BSC),DEX
KiloEx (Manta Pacific),DEX
KiloEx (opBnb),DEX
Kim,DEX
Kim V4,DEX
Kine Protocol (Derivatives),DEX
Kine Protocol (Spot),DEX
Kinesis Money,CEX
Kinetix V3,DEX
KLAYSwap,DEX
Klayswap V3,DEX
Bitcoin.me,CEX
KnightSwap,DEX
Koinbx,CEX
Koinpark,CEX
Komodo Wallet,DEX
Korbit,CEX
Kraken,CEX
Kraken (Futures),CEX
KriyaDEX,DEX
KTX.Finance (Arbitrum),DEX
KTX.Finance (BSC),DEX
KTX.Finance (Mantle),DEX
KuCoin,CEX
Kujira Fin,DEX
KuCoin Futures,CEX
Kuna Exchange,CEX
Kuswap,DEX
Kyberswap Classic (Arbitrum),DEX
KyberSwap Classic (Avalanche),DEX
KyberSwap Classic (BSC),DEX
Kyberswap Classic (Bittorent),DEX
KyberSwap Classic (Ethereum),DEX
KyberSwap Classic (Fantom),DEX
Kyberswap Classic (Optimism),DEX
KyberSwap Classic (Polygon),DEX
KyberSwap Elastic (Ethereum),DEX
Kyberswap Elastic (Arbitrum),DEX
Kyberswap Elastic (Avalanche),DEX
Kyberswap Elastic (BSC),DEX
Kyberswap Elastic (Fantom),DEX
Kyberswap Elastic (Linea),DEX
Kyberswap Elastic (Optimism),DEX
Kyberswap Elastic (Polygon),DEX
LaserSwap,DEX
LATOKEN,CEX
LBank,CEX
LBank (Futures),CEX
LCX Exchange,CEX
LeetSwap (Base),DEX
LeetSwap (Linea),DEX
LeonicornSwap,DEX
Levana Perps (Osmosis),DEX
Levinswap (xDai),DEX
LFGswap,DEX
LFGSwap (Core),DEX
Libre Swap,DEX
LIF3 (Tombchain),DEX
LIF3 (BSC),DEX
Lif3 (Ethereum),DEX
LIF3 (Polygon),DEX
Lif3 V3 (BSC),DEX
Lif3 V3 (Fantom),DEX
Lif3 V3 (Polygon),DEX
Line Hub V3,DEX
Liquidswap,DEX
LiquidSwap V0.5,DEX
LocalTrade,CEX
Loop Markets,DEX
Loopring,DEX
Loopring AMM,DEX
Luaswap,DEX
LuigiSwap,DEX
Luno,CEX
Lydia Finance,DEX
Lykke,CEX
Lynex,DEX
Lynex V2 (Linea),DEX
Magic Eden (Runes),DEX
MagicSea (Iota EVM),DEX
Magicswap,DEX
xExchange,DEX
Makiswap,DEX
Mangata,DEX
MantaSwap,DEX
Mars Ecosystem,DEX
MARSWAP,DEX
Matcha (Arbitrum One),DEX
Matcha (Avalanche),DEX
Matcha (Base),DEX
Matcha (BSC),DEX
Matcha (Ethereum),DEX
Matcha (Optimism),DEX
Matcha (Polygon),DEX
Maverick Protocol,DEX
Maverick Protocol (Base),DEX
Maverick Protocol (BSC),DEX
Maverick Protocol (zkSync),DEX
Max Maicoin,CEX
Maya Protocol,DEX
MCDEX (Arbitrum),DEX
MCDEX (BSC),DEX
Mdex,DEX
Mdex BSC,DEX
Megaton Finance,DEX
MelegaSwap,DEX
Mercado Bitcoin,CEX
Mercatox,CEX
Merchant Moe Liquidity Book (Mantle),DEX
Merchant Moe,DEX
MerlinSwap,DEX
Meshswap,DEX
Metal X,DEX
Meteora,DEX
Methlab (Mantle),DEX
MiaSwap,DEX
MilkySwap,DEX
Mimo,DEX
MIND Games,DEX
Minswap,DEX
Mistswap,DEX
MMFinance (Cronos),DEX
MM Finance (Arbitrum),DEX
MMFinance (Polygon),DEX
MMFinance V3 (Arbitrum),DEX
MojitoSwap,DEX
MonoSwap V2 (Blast),DEX
MonoSwap V3 (Blast),DEX
Moraswap V2,DEX
Morpheus Swap,DEX
Mudrex,CEX
Muesliswap,DEX
Muesliswap (Milkada),DEX
MUFEX,DEX
Koi Finance,DEX
MEXC,CEX
MEXC (Futures),CEX
mySwap-CL,DEX
MYX,DEX
NachoSwap,DEX
Namebase,CEX
Nami.Exchange,CEX
Nanu Exchange,CEX
Narkasa,CEX
Nash,DEX
NearPAD,DEX
Netswap,DEX
Neutroswap,DEX
Newdex,DEX
Nexus Mutual,DEX
NiceHash,CEX
NILE,DEX
NILE V1,DEX
Niza Global,CEX
Nominex,CEX
Nomiswap,DEX
Nomiswap (Stable),DEX
Nonkyc.io,CEX
Nostra ,DEX
NovaDAX,CEX
Nuri V2,DEX
OasisSwap (Base),DEX
OasisDEX,DEX
OccamX,DEX
Oceanex,CEX
Okcoin,CEX
OKCoin Japan,CEX
OKX,CEX
OKX Ordinals,CEX
OKX (Futures),CEX
Oku Trade (Filecoin),DEX
Oku Trade (Linea),DEX
Oku Trade (Manta Pacific),DEX
Oku Trade (Moonbeam),DEX
Oku Trade (Scroll),DEX
Oku Trade (Taiko),DEX
Oku Trade (zkSync),DEX
Omax Swap,DEX
Omgfin,CEX
OmniDex,DEX
OneDex,DEX
1inch Liquidity Protocol,DEX
1INTRO,DEX
Onsen Swap,DEX
Oolongswap,DEX
OpenBook,DEX
OpenLeverage,DEX
OpenOcean,DEX
OpenSwap,DEX
OPNX Derivatives,CEX
OPNX,CEX
Oracleswap,DEX
OraiDEX,DEX
OrangeDX,DEX
OrangeX,CEX
OrangeX Futures,CEX
Orca,DEX
Orderbook.io,DEX
Orderly Network,DEX
Orderly Network (Derivatives) (Near),DEX
Orderly Network (Derivatives),DEX
OreoSwap,DEX
Orion (BSC),DEX
Orion (Ethereum) ,DEX
Osmosis,DEX
OX.FUN,CEX
P2B,CEX
PacificSwap,DEX
Paintswap,DEX
Pancakeswap (Aptos),DEX
PancakeSwap (Ethereum),DEX
PancakeSwap (v2),DEX
Pancakeswap (Stableswap),DEX
Pancakeswap Stableswap (Arbitrum),DEX
Pancakeswap V1 (BSC),DEX
Pancakeswap V2 (Arbitrum),DEX
Pancakeswap V2 (Base),DEX
Pancakeswap V2 (opBnb),DEX
Pancakeswap V2 (Polygon zkEVM),DEX
PancakeSwap (zkSync),DEX
Pancakeswap V3 (Arbitrum),DEX
Pancakeswap V3 (Base),DEX
Pancakeswap V3 (BSC),DEX
Pancakeswap V3 (Ethereum),DEX
Pancakeswap V3 (Linea),DEX
Pancakeswap V3 (opBnb),DEX
Pancakeswap V3 (Polygon zkEVM),DEX
Pancakeswap V3 (zkSync),DEX
Pangolin,DEX
Pangolin (Flare),DEX
Pangolin (Songbird),DEX
Paradex,DEX
Paribu,CEX
Paymium,CEX
PearlFi,DEX
PearlFi V1.5,DEX
PearlFi V2 (Re.al) ,DEX
Pegasys,DEX
Pegasys V3 (Rollux),DEX
Perpetual Protocol,DEX
Pharaoh Exchange,DEX
Pharaoh Exchange V1,DEX
Phemex,CEX
Phemex (Futures),CEX
PhotonSwap (Cronos),DEX
PhotonSwap (Kava),DEX
Phux,DEX
PinkSwap,DEX
Pionex,CEX
Planet Finance,DEX
Platypus Finance,DEX
Plenty Network,DEX
PointPay,CEX
Polaris,DEX
Polia,DEX
Polkadex,DEX
PolkaEx (Shiden),DEX
Polkaswap,DEX
Poloniex,CEX
Poloniex Futures,CEX
Polycat Finance,DEX
Polynomial Trade ,DEX
PolyZap,DEX
POMSwap,DEX
Poolshark,DEX
PotatoSwap (X Layer) ,DEX
Powertrade,CEX
Powertrade (Derivatives),CEX
Powswap,DEX
PrimeXBT,CEX
Prism Protocol,DEX
ProBit Global,CEX
Probit (Korea),CEX
ProtoFi,DEX
PuddingSwap,DEX
PulseX,DEX
PulseX V2,DEX
Punkswap,DEX
Purcow,CEX
QMall,CEX
Quickswap,DEX
Quickswap (Dogechain),DEX
Quickswap (Polygon zkEVM),DEX
Quickswap (v3),DEX
QuickSwap V3 (Astar zkEVM),DEX
QuickSwap V3 (Immutable zkEVM),DEX
Quickswap V3 (Manta Pacific),DEX
Quickswap V3 (X Layer),DEX
Quipuswap,DEX
RabbitX,DEX
RadioShack (Avalanche),DEX
RadioShack (BSC),DEX
RadioShack (Ethereum),DEX
RadioShack (Polygon),DEX
Ra Exchange,DEX
Ra Exchange V1,DEX
Ramses,DEX
Ramses V2,DEX
Rawr Trade,DEX
Raydium,DEX
Raydium (CLMM),DEX
RCP Swap,DEX
Ref Finance,DEX
Retherswap,DEX
Retro,DEX
Revoswap,DEX
Revoswap V2,DEX
Rocketswap,DEX
Rockswap,DEX
RogueX Protocol ,DEX
Ruby Exchange,DEX
Saber,DEX
SafeTrade,CEX
SaitaSwap (BSC),DEX
SaitaSwap (Ethereum),DEX
SakeSwap,DEX
Satori (Base),DEX
Satori (Linea),DEX
Saucerswap V1,DEX
Saucerswap V2,DEX
ScrollSwap,DEX
SecondBTC,CEX
SecretSwap,DEX
Secta Finance V2 (Linea),DEX
Secta Finance V3 (Linea),DEX
Serum DEX,DEX
Shade Protocol,DEX
ShadowSwap,DEX
SharkSwap,DEX
SharkySwap,DEX
Shibaswap,DEX
ShibSwap,DEX
MagicSea (ShimmerEVM),DEX
Sideswap,DEX
Siennaswap,DEX
SilkSwap,DEX
Skydrome,DEX
Skydrome V2,DEX
Slex,CEX
SmarDex (Arbitrum),DEX
SmarDex (Base),DEX
SmarDex (BSC),DEX
SmarDex,DEX
SmarDex (Polygon),DEX
Sobal (Neon EVM),DEX
Solarbeam,DEX
Solarflare,DEX
SolidLizard,DEX
Solidly V1 (Fantom),DEX
Solidly V2 (Ethereum),DEX
Solidly V3 (Ethereum),DEX
Solidly V3 (Arbitrum),DEX
Solidly V3 (Base),DEX
Solidly V3 (Fantom),DEX
Solidly V3 (Optimism),DEX
SoliSnek,DEX
Sologenic,DEX
Sonic,DEX
Soswap,DEX
Soulswap,DEX
Sovryn DEX,DEX
Soy Finance (Callisto),DEX
SpaceFi,DEX
SpaceFi (ZkSync),DEX
SpartaDEX,DEX
Spartan Protocol,DEX
Spectrum Finance,DEX
Spectrum Finance (Cardano),DEX
Sphynx (Brise),DEX
Sphynx Swap (BSC),DEX
Spice Trade (Avalanche),DEX
Spicyswap,DEX
Spin,DEX
SpinaqDex,DEX
SpiritSwap,DEX
SpiritSwap (V2),DEX
SpookySwap,DEX
SpookySwap V3 ,DEX
SquadSwap V2,DEX
SquadSwap V3,DEX
StakeCube Exchange,CEX
StarkDefi,DEX
StationDEX V3 (x Layer),DEX
Rails Network Swap,DEX
StellarTerm,DEX
StellaSwap,DEX
Stellaswap (V3),DEX
Step Exchange,DEX
Step Finance,DEX
Sterling,DEX
STON.fi,DEX
Stormgain,CEX
Stormgain Futures,CEX
Stratum Exchange,DEX
Suiswap,DEX
Sundaeswap,DEX
SUN.io,DEX
SupSwap,DEX
Surf Protocol,DEX
Surfswap,DEX
Sushiswap,DEX
Sushiswap (Arbitrum One),DEX
Sushiswap (Arbitrum Nova),DEX
Sushiswap (Avalanche),DEX
Sushiswap (BSC),DEX
Sushiswap Celo,DEX
Sushiswap (Fantom),DEX
Sushiswap (Harmony),DEX
Sushiswap (Polygon POS),DEX
Sushiswap V2 (Base),DEX
Sushiswap V3 (Arbitrum),DEX
Sushiswap V3 (Arbitrum Nova),DEX
SushiSwap V3 (Base),DEX
Sushiswap V3 (BSC),DEX
Sushiswap V3 (Core),DEX
Sushiswap V3 (Ethereum),DEX
Sushiswap V3 (Fantom),DEX
Sushiswap V3 (Linea),DEX
Sushiswap V3 (Optimism),DEX
Sushiswap V3 (Polygon),DEX
Sushiswap V3 (Polygon zkEVM),DEX
SushiSwap V3 (Scroll),DEX
Sushiswap V3 (ThunderCore),DEX
Sushiswap V3 (ZetaChain),DEX
Sushiswap (xDai),DEX
SwapBased,DEX
SwapBased V3,DEX
SwapBlast,DEX
SwapFish,DEX
Swapline (Optimism),DEX
Swapline (ShimmerEVM) ,DEX
SwapMode,DEX
Swappi,DEX
Swapr (Arbitrum),DEX
Swapr (Ethereum),DEX
Swapr (Xdai),DEX
Swapsicle,DEX
Swapsicle (Telos),DEX
Swapsicle V2 (Mantle),DEX
Swapsicle V2 (Telos),DEX
Swop.Fi,DEX
SWYCH,DEX
SyncSwap,DEX
SyncSwap (Linea),DEX
SyncSwap (Scroll),DEX
SyncSwap V2.1 (Linea),DEX
SyncSwap V2.1 (Scroll),DEX
SyncSwap V2.1 (zkSync),DEX
SyncSwap (zkSync),DEX
SynFutures,DEX
Kwenta,DEX
Synthswap,DEX
Synthswap V3,DEX
Taffy Finance,DEX
TaikoSwap,DEX
TangleSwap,DEX
TangleSwap (Milkomeda Cardano),DEX
TangoSwap,DEX
tanX,DEX
Tapbit,CEX
Orbix,CEX
Tealswap,DEX
TempleDAO,DEX
Tenderswap,DEX
Terraport,DEX
Terraswap Classic,DEX
Tesseract World,DEX
Tethys Finance,DEX
Tetuswap,DEX
Terraformer,DEX
Thala,DEX
THENA,DEX
THENA FUSION,DEX
THENA (opBnb),DEX
THORChain,DEX
Thorus,DEX
THORWallet DEX,DEX
Throne V3 (Base),DEX
Thruster V2 (0.3% Fee Tier),DEX
Thruster V2 (1.0% Fee Tier),DEX
Thruster V3,DEX
Tidex,CEX
Tinyman,DEX
Tokan Exchange,DEX
Tokenize,CEX
Tokenlon,DEX
TokenSets,DEX
TokoCrypto,CEX
Tokpie,CEX
Tomb Swap (Fantom),DEX
Toobit,CEX
Toobit Futures,CEX
TradeOgre,CEX
Trader Joe,DEX
Trader Joe V2.1 (Arbitrum),DEX
Trader Joe V2.1 (Avalanche),DEX
Trader Joe V2.1 (BSC),DEX
Trader Joe v2 (Arbitrum),DEX
Trader Joe v2,DEX
Trader Joe V2 (BSC),DEX
Tranquil Finance,DEX
Trisolaris,DEX
Tropical Finance,DEX
Trubit,CEX
Trustless Markets,DEX
Turbos Finance,DEX
Ubeswap,DEX
Unicly,DEX
UniSat,DEX
UniSat (Runes),DEX
Uniswap V3 (BSC),DEX
Uniswap V2 (Ethereum),DEX
Uniswap V2 (Arbitrum),DEX
Uniswap V2 (Avalanche),DEX
Uniswap V2 (Base),DEX
Uniswap V2 (Blast),DEX
Uniswap V2 (BSC) ,DEX
Uniswap V2 (Optimism),DEX
Uniswap V2 (Polygon),DEX
Uniswap V3 (Ethereum),DEX
Uniswap V3 (Arbitrum One),DEX
Uniswap V3 (Avalanche),DEX
Uniswap V3 (Base),DEX
Uniswap V3 (Blast),DEX
Uniswap V3 (Celo),DEX
Uniswap V3 (Optimism),DEX
Uniswap V3 (Polygon),DEX
UniversalSwaps,DEX
UniWswap,DEX
Upbit,CEX
Upbit Indonesia ,CEX
USDFI,DEX
VALR,CEX
VALR Futures,CEX
vSwap BSC,DEX
VanillaSwap V2 (DefiMetaChain),DEX
VaporDex,DEX
VaporDEX V2,DEX
Velar (Stacks),DEX
Velocimeter,DEX
Velocimeter (Base),DEX
Velocimeter (Fantom),DEX
Velocimeter V2,DEX
Velocimeter V3,DEX
Velocore,DEX
Velocore V2 (Linea),DEX
Velocore V2 (Telos),DEX
Velocore V2 (ZkSync),DEX
Velodrome Finance,DEX
Velodrome SlipStream,DEX
Velodrome Finance v2,DEX
Verse,DEX
Vertex (Derivatives),DEX
Vertex (Spot),DEX
Vindax,CEX
Viridian,DEX
VirtuSwap,DEX
VirtuSwap (Arbitrum One),DEX
ViteX,DEX
Voltage Finance,DEX
Voltage Finance V3,DEX
Voltswap (Meter),DEX
VVS Finance,DEX
VVS V3 (Ethereum),DEX
WAGMI (Ethereum),DEX
WAGMI (Kava),DEX
WAGMI (Metis),DEX
WAGMI (zkSync),DEX
WagyuSwap,DEX
Wannaswap,DEX
WanSwap,DEX
WarpGate,DEX
